,text,category,label,data_type
0,mayasolovely woman complain cleaning house amp man trash ,neither,2,test
1,mleew17 boy dat cold tyga dwn bad cuffin dat hoe 1st place ,offensive_lang,1,train
2,urkindofbrand dawg 80sbaby4life fuck bitch start confused shit ,offensive_lang,1,train
3,c g anderson viva based look like tranny ,offensive_lang,1,train
4,shenikaroberts shit hear true faker bitch told ya 57361 ,offensive_lang,1,train
5,madison x shit blow claim faithful somebody fucking hoe 128514 128514 128514 ,offensive_lang,1,val
6,brighterdays sit hate bitch got shit going ,offensive_lang,1,train
7,8220 selfiequeenbri cause tired big bitch coming skinny girl 8221 ,offensive_lang,1,train
8,amp ya bitch amp thats ,offensive_lang,1,train
9,rhythmixx hobby include fighting mariam bitch ,offensive_lang,1,train
10,keeks bitch curve lol walked conversation like smh ,offensive_lang,1,train
11,murda gang bitch gang land ,offensive_lang,1,train
12,hoe smoke loser yea ig ,offensive_lang,1,test
13,bad bitch thing like ,offensive_lang,1,train
14,bitch ,offensive_lang,1,test
15,bitch nigga miss ,offensive_lang,1,train
16,bitch plz ,offensive_lang,1,train
17,bitch love ,offensive_lang,1,test
18,bitch cut everyday b ,offensive_lang,1,train
19,black bottle amp bad bitch ,offensive_lang,1,train
20,broke bitch tell ,offensive_lang,1,train
21,cancel bitch like nino ,offensive_lang,1,train
22,hoe wont change ,offensive_lang,1,train
23,fuck bitch dont suck dick 128514 128514 128514 kermit video bout fuck ig ,offensive_lang,1,train
24,got ya bitch tip toeing hardwood floor 128514 http cou2wq5l4q ,offensive_lang,1,train
25,pussy lip like heaven door 128524 ,offensive_lang,1,test
26,hoe hitting ,offensive_lang,1,test
27,met pussy ocean dr gave pussy pill 128524 ,offensive_lang,1,val
28,need trippy bitch fuck hennessy ,offensive_lang,1,train
29,spend money want bitch business ,offensive_lang,1,train
30,txt old bitch new bitch pussy wetter ,offensive_lang,1,train
31,im old old bitch excited 128524 ,offensive_lang,1,val
32,aint bout murder game pussy nigga shut ,offensive_lang,1,train
33,toe pussy stink ,offensive_lang,1,train
34,im bitter bitch wrap angry bird app ,offensive_lang,1,train
35,ya bitch ,offensive_lang,1,train
36,aint cut bitch ,offensive_lang,1,train
37,jus meet son ya mane bitch shot ,offensive_lang,1,train
38,lame hoe thats tear clown ,offensive_lang,1,train
39,like snoop said 94 dont love hoe ,offensive_lang,1,train
40,momma said pussy cat inside doghouse ,neither,2,train
41,hated hoe favorite 2mw sevenone http bmdsvmc3rc ,offensive_lang,1,train
42,nice girl bad naughty bad yello hoe real nice body south chick like em real http bzrdl3kf7u ,offensive_lang,1,test
43,pimp pimp hoe future voice ,offensive_lang,1,train
44,post picture pussy 200 like ,offensive_lang,1,val
45,pussy powerful drug 128517 happyhumpday http r8jsymib5b ,offensive_lang,1,train
46,quick piece pussy drive ,offensive_lang,1,val
47,running round like brand new pussy thats bout fucked ,offensive_lang,1,train
48,bitch worst send guy ,offensive_lang,1,train
49,hoe like nigga spend money talk bout ,offensive_lang,1,train
50,dont trust nigga bitch ,offensive_lang,1,val
51,yall nigga b cuffing hoe cause yall aint bitch ,offensive_lang,1,train
52,dodge bullet 128517 8220 darealkha da bitch cut pregnant bound thank god 128591 8221 ,offensive_lang,1,train
53,young pill chamberlain bitch love music ,offensive_lang,1,train
54,128514 128514 128514 128514 128514 128514 128514 128514 128514 128514 128514 vandalsavage teanna trump probably cleaner twitter hoe ,offensive_lang,1,train
55,128514 128514 128514 128514 128514 128514 128514 128514 128514 128514 dahomiefuzz gay nigga wait act like bitch tonight ,offensive_lang,1,train
56,128514 128514 128514 paradox ima steal cat n replace pitbull 128514 128514 128514 128514 80sbaby4life paradox bitch ,offensive_lang,1,val
57,amp gone hoe ,offensive_lang,1,train
58,son bitch took tic tacs like movie ,offensive_lang,1,train
59,wanna money fuck model bitch russell simmons ,offensive_lang,1,train
60,2015seniorprobs probably 8217 mind school 8217 deal bitch teacher retweet ,offensive_lang,1,train
61,a7xdemery fucking fag said ,offensive_lang,1,train
62,arizzleindacut female think dating pussy cute http vxbjg26gsz stuff pussy ,offensive_lang,1,train
63,addicted2guys simplyaddictedtoguys http 1jl4hi8zmf woof woof hot scally lad ,neither,2,val
64,adorebellaaa ya asked bitch bitch kanye voice yes ,offensive_lang,1,train
65,adorezoey u gone bring ur bitch game know ya gf friend 128553 128553 128553 128553 swear ,offensive_lang,1,val
66,allaboutmanfeet http 3gzupfumev woof woof hot sol ,neither,2,train
67,allyhaaaaa lemmie eat oreo amp dish oreo lol ,neither,2,train
68,almightywayne jetsandaswisher gook bitch fuck u http pxmga68nc1 maybe better http tprevwfq0s ,offensive_lang,1,train
69,almightywayne fuck red malone man bitch niggah use complete sentence ,offensive_lang,1,train
70,arizonasfinest6 eggplant emoji doe looked like scream lmao ,neither,2,train
71,autoworid hennessey venom gt 128584 http i8egmnkaj9 sexy bitch ,offensive_lang,1,train
72,bossbytchh seh pussy wetter shower curtain ahmesehwetness lt lmao ,offensive_lang,1,train
73,bro hen314 eaglesnation eagle need pic posted bitch said racist shit ,offensive_lang,1,train
74,bvsedchink yo fuck skateboarding wood pushing faggot man ball life http vbczp6hmt7 amjemiebenn ,offensive_lang,1,val
75,babyanimalpics baby monkey bathtime http 7kpwadlf0r awwwwe soooo adorable ,neither,2,train
76,baylaagottabody 128514 128514 128514 128514 shit damn skippy lol ,offensive_lang,1,train
77,beeasyjrizzy u kill ant sidewalk think damn nigga way pussy b b gt 30 chance ,offensive_lang,1,train
78,beenbasedb kudabrazyy http luubgl9y5u 0 ring 0 mvp 0 bitch lol ,offensive_lang,1,train
79,beenflynsolo ppl talk bad ghetto hood kid growing nigga funnnnnnn ,offensive_lang,1,train
80,bestproadvice fact tattoo tattoo http zwnbhpdz8e pussy tattooing nipple ,offensive_lang,1,train
81,bill215 128175 128175 128175 nel ayden bitch wanting act like nigga bad 128553 128553 128553 shit aint cuteeeee nigga act like bitch ,offensive_lang,1,train
82,bitchjones92 worshiping bitch http r37cejcjou woof woof ,offensive_lang,1,train
83,blackchiquitita wow thatmanpalmer lost buttcheek piercings http yn6guyouq6 yeah hoe ,offensive_lang,1,train
84,blacknerdjade ok si broke bitch shrug tell work ,offensive_lang,1,train
85,blackman38tide whalelookyhere howdydowdy11 queer gaywad ,hate_speech,0,train
86,brokenpiecesmsc itsnotadam faggot read tweet dat k funny lol ,offensive_lang,1,train
87,brosconfessions bitch ungrateful http 06e77bgwbx fr lulwhore ,offensive_lang,1,train
88,cashandboobies kidnapped yo bitch ,offensive_lang,1,train
89,cb baby24 white thunduh alsarabsss beaner smh tell mexican ,hate_speech,0,val
90,ccobey aydanmccoy happy birthday nigs thanks yo ,offensive_lang,1,train
91,chlldhoodruiner ur teacher tell u u homework http rkk5vawij1 bitch need ,offensive_lang,1,train
92,caelang15 22edham caelang15 nigga eating hoe lol hell yea lol john paul nigga said john paul http osipbkpr9h ,offensive_lang,1,train
93,canifuckornah lil ugly bald headed bitch stop making amp weave ,offensive_lang,1,train
94,carelessone92 leaf better win damn game riot shit earlychristmas better start looting nig ,offensive_lang,1,train
95,causewereguys going school suck dick hoe attend ,offensive_lang,1,train
96,causewereguys way fuck yo bitch http j906t5ze2r 9 year old ,offensive_lang,1,val
97,celeynichole white thunduh come bring food dont car retard ,offensive_lang,1,train
98,chadmfverbeck richnow hella tinder hoe im friend anymore chill brought like like 8 prople ,offensive_lang,1,test
99,chandlerparsons bout cowboy shutup pussy ,offensive_lang,1,train
100,clicquotsuave lmaooooooooooo nigga krillz nuh care http aanpsujmyi lt bitch want like depressing shit foh ,offensive_lang,1,train
101,coley cee lil aerii girl know spitting g shit amp going lbvs bitch plz ,offensive_lang,1,train
102,coley cee let couple tweet cuzzo page twitter jail lmao bitch trick ,offensive_lang,1,val
103,comedyposts harlem shake excuse retard 30 second ,offensive_lang,1,train
104,comedytruth amen miley 128591 http p2kb2tfyxr okay need act like hoe bc emotionally damaged foh ,offensive_lang,1,val
105,corybandz loyal female wayyyyy better hoe idc 128175 ,offensive_lang,1,train
106,crhedrys pussy licking pussy meow meow stopwhitepeople2014 128049 http keegdcjs5k 8221 128533 ,offensive_lang,1,test
107,dbab holloway check 12th man cowboysnation faggot ny fan stand ,offensive_lang,1,train
108,dgotbricks happen vixen ent bitch got ran threw like foothill bitch ,offensive_lang,1,train
109,daedavidavie white thunduh im bitch okay nude pat 128554 128527 128056 wow ,offensive_lang,1,train
