,class,text
0,0, As a woman you shouldn't complain about cleaning up your house as a man you should always take the trash out 
1,0, momma said no pussy cats inside my doghouse 
2,0, SimplyAddictedToGuys woof woof hot scally lad
3,0, woof woof and hot soles
4,0, Lemmie eat a Oreo do these dishes One oreo Lol
5,0, Why the eggplant emoji doe y he say she looked like scream lmao
6,0, baby monkey bathtime Awwwwe This is soooo ADORABLE 
7,1, queer gaywad
8,1, alsarabsss hes a beaner smh you can tell hes a mexican
9,1, you're fucking gay blacklisted hoe Holding out for TehGodClan anyway 
10,0, Baseball season for the win Yankees This is where the love started
11,0, I'm an early bird and I'm a night owl so I'm wise and have worms 
12,0, Overdosing on heavy drugs doesn't sound bad tonight I do that pussy shit every day 
13,0, Pit Bulls Photographed As Lovely Fairy Tale Creatures They are fairy tale creatures 
14,0, As long as the Lakers trash from now on I could careless And that's real hahaha
15,0, this the I play soccer cheat on girls and wear khaki coloured cargos haircut yup
16,0, This isn't ghetto it's smart I'm doing this idc
17,0, Who wants to get there nose in these bad bois then scally chav sockfetish stinking hot sox and legs
18,0, Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line ooooow who tf said that trash 
19,0, UCFPINKPARTY come on stay alive knights nation This is still the early bird special ComeAtMeUT
20,0, Stay tuned to for an update on the report that 1B will be out 8 10 weeks bum
21,0, I play soccer cheat on girls and wear khaki coloured cargos haircut yes lmfao
22,1, LMFAOOOO I HATE BLACK PEOPLE This is why there's black people and niggers
23,0, a pissed lad past out I would lick his dirty soles while he slept 
24,0, love frat boy w soft long soles
25,0, sexy lad with hot soles and arches 
26,0, I got hicks lol
27,0, 10 birds your grandkids may never see thanks to climate change Climate
28,1, At least I'm not a nigger Lmfao
29,1, Ariza is a snake and a coward but at least he isn't a cripple like your hero Roach lmaoo
30,0, Fosters home for imaginary trash WHOA CHILL that show was everything tf
31,0, 61 of welfare government aid is claimed by white people So y'all black slander is trash now 
32,1, Drakes new shoes that will be released by Nike Jordan Yes there's glitter on the shoes dudes a fag
33,0, inna di ghetto You alone lmaoo
34,0, hoes Austin teach us Austin I teach u how to get curved That's all I know
35,0, Eli Manning just threw his NFL leading 27th interception of the season Lmao trash
36,0, USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team he's a bitch
37,0, Chilling sexy scally lad
38,0, tuku ho idk blah blah blah 
39,0, I'm not mad cuh hahaha suure tuku ho ita 
40,0, this scally lad would get it
41,1, GerrysHalloweenParty Halloween was yesterday stupid nigger
42,0, 15 sad TV character deaths we're still bitter over stark was the man
43,0, A smuggler explains how he helped fighters along the Jihadi Highway 
44,0, Down 6 1 Yankees look to rally in the bottom of the 9th RALLYCAP
45,1, is bored supposed to be cute you faggot Sometimes
46,0, One mans trash is another mans treasure 
47,1, lassen cc the coach wants me i feel it youll get more my nig no doubt
48,0, Ashley Young has tried to deny that bird s landed in his mouth hahaha
49,0, Take me for a ride woof woof
50,0, Sitting on my window sill window open bird tries to fly in Smacked it ProtectTheAnimals 
51,0, a video an entire media will likely mock i am such a crybaby
52,0, Jihadi patron Hajjaj al Ajmi is arrested at Kuwait airport 
53,0, tweety bird tho 
54,0, When twitter rappers dm me their trash links 
55,1, Jackies a retard blondeproblems At least I can make a grilled cheese 
56,0, Photo he is in sole heaven
57,1, Stacey Dash won baddest bitch evaaaa
58,0, We actin like it's the 7th day spook
59,0, colored contacts in your eyes blinders on mine cause i can't see you at all Lmao
60,0, swears I'm 1 man easily easily behind Austin nip 
61,0, H G Wells and Charlie Chaplin History Photography
62,0, I told Mariam to but cigarettes for her birthday You also called me trash rn
63,0, brownies tonight what kind 
64,0, Fit lads Nice gear these scally lads n trainers would get it
65,0, I saw an ajumma walk out in the beginning saying 'Wow this is so trash that I can't even listen to it ' lmaoo
66,0, Dude remember this wop video OMG WHERE DID YOU FIND THAT
67,0, RAWR My sexy French scally I love him frenchscally sexy scally woof woof
68,0, Baby albino 
69,0, Bae sounds like such a ghetto word Use something else
70,0, Brownies for my brownie I love this movie 
71,0, Chinese Maverick We were communicating Comrade u know giving the imperialist Yanks the Birdie 
72,1, Don't worry about the nigga you see worry about the nigga you DON'T see Dat's da nigga fuckin yo bitch 
73,0, Generate ASCII boxes with NodeJS all I see is the ability to bring flappy bird in node via ASCII tubes and bird _ 
74,1, Hey go look at that video of the man that found the kidnapped girls in Ohio what a nigger shitmybosssays
75,0, How about we draft all those gung ho folks and send them to Afghanistan or other war zones so they can show their 
76,0, I am a thrill billy with a hillbilly heart HAHAHAHAHA Jesus Murphy 
77,0, I found a new way to chug you have to open your mouth alot shitallysays
78,0, I'll slit your throat neck 
79,0, Is that an albino Mexican No dad he's Asian 
80,0, Just follow the yellow brick twitter 
81,0, LOL cripple Wendy Davis Scientists create remote controlled chick to study shy penguins 
82,1, Let's kill cracker babies WTF did I just hear WOW 
83,0, Mam Renée doet in haar rol net of ze ongesteld is Wat is ongesteld Van dat soort vragen waar je denkt hoe leg ik die weer uit 
84,0, Mine plays DMX and kirk Franklin smh Well my neighbors are ghetto They get up at like 5am and beat their kids 
85,1, My grandma used to call me a porch monkey all the time Come to think of it she did refer to a broken bottle as a nigger knife 
86,1, Nah its You yo i thought some1 photoshopped my face on that faggot smmfh i hate yall 
87,0, OVO kendrick lamar still trash 
88,0, Only a couple of Red Sox have gotten past first base I'm dying laughing Maybe the Yanks need to teach them some game 
89,1, Our people Now is the time for the Aryan race 2 stand up and say no more Before the mongerls turn the world into a ghetto slum 1488
90,0," The devil grows inside the hearts of the selfish and wicked
White brown yellow and black color is not restricted "
91,0, The water isn't yellow I'm a healthy student 
92,1, These sour apple bitter bitches I'm not fuckin wit em 
93,0, They have to That division is trash Saints gon win the NFC South watch 
94,0, This recipe calls for a leftover brownie What the hell is a LEFTOVER brownie That's just a brownie you haven't eaten yet 
95,0, Two roads diverged in a yellow wood and I chose the one to Jötunheimr Robert Frost Giant
96,1, We hate niggers we hate faggots and we hate spics kkk rally
97,1, We're out here and we're queer 2 4 6 hut We like it in our butt 
98,1, Who the fuck you callin jiggaboo nigga 
99,1, Why people think gay marriage is okay is beyond me Sorry I don't want my future son seeing 2 fags walking down the street holding hands an
100,0, YAH has said in his word that the Mtzra'ym egyptians are his people and Ysrah'al is his inheritance and the Kushite ethiopians 
101,0, Yaoooooooo Mawnin yardies 
102,1, You ain't gunna do shit spear chucker 
103,0, You hit no lights no line for toco bell at 2 in he morning and Diana's back in her house It's a miracle Charlie
104,0, You look like little birds help you get dressed in the morning 
105,1, You ol trout mouth ass bitch DEEEEAAAADD
106,0, Your teeth are like the stars Aww thanks Yeah yellow and far away from each other 
107,1, ayo i even kill handicapped and crippled bitches look at my scalp real close and you'll see triple sixes 
108,1, fuck you you pussy ass hater go suck a dick and die quick Someone to me in Youtube comments I think we'd be good friends 
109,0, hick and raver is a venn diagram that has a very large intersection 
110,1, on my way to fuck your bitch in the name of The Lord Mr Race
111,1, poor whitey 
112,0, when rappers say twat it makes me feel weird 
113,0, 2013Faves Snoop and Justin are having so much fun at this Charlie Wilson tribute BETAwards 
114,1, AZmonsoon lot of rain too bad it wasn't enough to wash away the teabagger racist white trash in the state Tcot teaparty azflooding
115,0, AskDems Aren't you embarrassed that Charlie Rangel remains in your caucus 
116,0, BREAKING AP calls Mass Governor race for Charlie Baker Watch live coverage on WCVB streaming online 
117,0, BigBird was made by a gay couple So yes under a GOP world the bird would not have existed since its creators would be in jail for sodomy 
118,0, BlessJesus Amos 3 3 Can two walk together except they be agreed 
119,0, BlessJesus Amos 5 10 There are those who hate the one who upholds justice in court and detest the one who tells the truth 
120,0, BlessJesus The Crown of HIS head to the sole of HIS feet
121,0, BlessJesusAir Matthew 6 26 Look at the birds of the air and yet your heavenly Father feeds them Are you not much more valuable than they 
122,0, BlessJesusLove Happy Belated Sixty Fifth 65 Birthday 28 Aunt Mary Agnes Strong
123,1, California is full of white trash
124,1, California is full of white trash who moved from Oklahoma
125,0, CommonQuestionIGet Why uou so ghetto 
126,1, DTLA is trash because of non Europeans are allowed to live there 
127,0, DegenerateArtist Sniffs whiffy balls involuntary cuz a FAIRY walks DOWNTOWN HAIRY climatechange all our scary sense of hillbilly sneeze 
128,0, DerekJeter as a lifelong Yankees man I will miss you FirstBallot Unanimous
129,1, Dutch farmers are white trash 
130,1, Dutch people who live outside of NewYorkCity are all white trash 
131,0, EarlyBird early morning sunrise dawn bird thebird jerryreed Kansas City 
132,0, Ebola Great and I thought the panic from bird flu was bad I really ain't got time for that 
133,0, Ebola is a great metaphor for how GOP teaparty policies eat off of vital organs until the host dies Tcot teabaggers
134,0, ExplainAnAnimePlotBadly Boy with a monkey tail grows up to the the savior of a futuristic yet old earth
135,0, FemaleLogic is worse than the jig I'm convinced
136,0, FireCashman Why Because I am having to root for the Royals in October Yankees
137,0, Glory Isaiah Mom asked me if I wanted a brownie I said no thanks She said what are fasting 
138,0, HOLIDAYSEASONLIVE Shy Glizzy Feat Plies FREE THA GANG 
139,0, HappyColumbusDay If is wasn't for America KarlMarx would never have thought of sharing colonialism with injuns 
140,0, HappyColumbusDay hate to sound all PETA callous and all but buffalo had it a LOT WORSE than the injuns 
141,0, HellYeah No Happy Fall Pumpkin Spice Oreos are here 
142,0, HelloBrookland We're here at the opening Serving free samples of cider vegan sliders brownies 
143,0, HolySpirit Joshua 1 3 Every place that the sole of your foot shall tread upon that have I given unto you as I said unto Moses 
144,0, IU 8 straight nation college soccer champions Wow hoosiernation hoosiers 
145,0, IU should make me an honorary student id be way cooler than the other international students i have my own football card hoosiers
146,0, IndigenousPeoplesDay right Because these redskins had a lot of queens right nomg sofunny
147,1, Iowa is full of white trash
148,0, Iraq gov troops were handed a severe defeat by ISIS at Saqlawiya there's chatter of over 300 soldiers lost Jihadis raving about it
149,1, JesusChrist was STRAIGHT That's why the faggots killed him PERIOD SonOfGod 
150,1, Minnesota is full of white trash
151,0, NP Centuries FOB
152,0, Natitude Okay I'm only going to say it once COMB yer BEARDS lol wiggers
153,0, NowPlaying BT feat Tori Amos Blue Skies radio edit on 1069TheArrow 
154,0, NowPlaying Great White Once Bitten Twice Shy on 1069TheArrow 
155,0, NowPlaying Ian Hunter Once Bitten Twice Shy on 1069TheArrow 
156,0, NowPlaying The Doors The WASP Texas Radio and the Big Beat on 1069TheArrow 
157,0, PDPLive is on November 10th Get your early bird tickets from 
158,0, PacerNation 4 4 on the road Perfect way to continue after iubb have finished NBA Pacers indiana hoosiers
159,0," RadioFreeNorthwest 218
Covington reads responses mocks FBI Andy on Real Politics Liv on her awakening Gretchen
"
160,1, ReasonsWeCantBeTogether if u was talkin to my nig or smashed da homies
161,1, RebelScience is using an ACTUAL WOMAN as a genetic engineering lab for all natural clones or something faggot rome
162,0, RedSox focus on the Orioles that knocked you out last year and not your hatred of the Yankees for um teen years LOL 
163,0, Royals 2 1 Fantastic Ready for tomorrow's sweep of the disposed O's Yankees 4ever except this month 
164,0, Royals Milwaukee let Yost go Now they wished they hadn't cause they suck How about now He's the guy win or lose Yankees fire Girardi Yost
165,0, RuinAComedian Charlie Lapdance
166,0, Skating is for trash 
167,1, SlightlyAdjusted Alls niggers wanna do is fuck tweet and drink pineapple soda all day
168,1, SomethingIGetAlot Are you asian black Hawaiian gay retarded drunk 
169,1, SouthCarolina is full of white trash
170,0, StopWhitePeople 9 cases of West Nile virus infections reported in Orange County this year 105 dead birds found carrying virus
171,0, TBT love you forever ling ling 
172,0, THEBOONDOCKS at 10 30 my nicca 
173,0, TRUTH David is the Charlie Brown of Scandal
174,1, ThingsIWillTeachMyChild how to play deez niggas n bitches dat be snakes
175,1, TrayvonMartin referred to Zimmerman as a creepy ass cracker Racist thug 
176,1, TweetLikePontiacHolmes I do the Pontiac sprinkler Nigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga
177,1, VinitaHegwood can get a job at the naacp Or as The AG I hear they like diversity and tolerance As long as you ain't a cracker tcot
178,1, Virginia is full of white trash 
179,0, WeAreRepublicNotRegime POTUS BO violated USA sovereignty w open border Jihadis criminal diseased Haitians S Americans ImpeachObama
180,1, WestVirginia is full of white trash 
181,0, WhatImCraving Peanut Butter Oreos 3
182,0, WorldSeriesGame3 Hunter Pence is so annoying he should be a Red Sox player Shave fool and take your Vyvanse Yankees 2015 
183,0, Yankees
184,0, Yankees FireCashman I don't want Arod back 
185,0, Yankees Jeter Let him play the entire inning That's fitting 
186,0, Yankees SEC Robertson in Guy is fantastic SEC pitcher 
187,0, Yankees 3 Astros 0 McCarthy outduels Keuchel in series finale 
188,0, Yankees 6 0 Nine straight hits Price Not your night 
189,0, Yankees Damn you DirectTv blackout the Yankee game With a freaking WALK OFF You're killing me satellite douche 
190,0, Yankees Damn Well Joe that move to the bullpen really helped 
191,0, Yankees I ain't complaining about the Royals win or lose game7 They showed heart AL ride or die No flex zone They earned it 
192,0, Yankees I went to Golds with Cruz in 2010 when he was a Sound No upper lower body strength Hmm now 40 HR hitter Won't say the S word 
193,0, Yankees If Royals have a fire sale I want the whole team Leave Gardner and Tanaka The rest can please go Along with Joe and Cash 
194,0, Yankees Nice bounce back Kay Gotta keep this going 
195,0, Yankees Pineda needed that 6'7 Great play 
196,0, Yankees Primo Just got home and the Tanks are on MLB Finally And they are winning Even better Time to get serious Sept call up time
197,0, Yankees got beaten by a thug
198,0, Yankees take all three games in MoTown I'm callin' it MLB
199,0, Yankees wasted Nuñez's season rays mlb
200,0, drunk trash trashed wasted The Draught Horse 
201,1, faggots are MERELY a scientific indicator that SOMETHING IS WRONG Do not celebrate as unique indiviuals for they are cancer 
202,1, firefighter is a job for white trash
203,0, foxnews cuts away when a Democrat talks and claim to be fair and balanced LMAO network full of teabaggers and liars 
204,0, gouache inktober oldpainting mt tiki wahine surf monkey bright happysunday peace wishing 
205,0, hoosier fans is cody zeller nominating for this years NBA draft iubb
206,0, inners Still hanging in Yankees we need this win NFL It's not SUNDAY 
207,0, iubb 1 suiting up again tonight Indiana IU ncaa hoosierdaddy HoosierNation hoosiers
208,0, metal only honkies 
209,1, milesthompson goauche wetback ca 
210,0, mt commission gouache tiki wahine monkey tubed surfing wavesliding waterwalker notkook 
211,0, mt goauche monkey oldpainting vinyl jazz lounge 
212,0, mt browngal gouache monkey tiki 
213,0, np Shy Glizzy Awwsome Remix Feat 2 Chainz A AP Rocky via 
214,0, philhughes nyy better then UR whole team
215,0, porn android iphone ipad sex xxx Desi paki 
216,0, porn android iphone ipad sex xxx Desi paki 
217,0, porn android iphone ipad sex xxx Teen Cutie lesbian teens toy slits 
218,0, portlandia putabirdonit The Xbox One would be so much cooler if they put a bird on it
219,0, redneck tow truck johndeere 4455 america 
220,0, rejectedpeanutsspecials Its The Grape Crackhead Charlie Brown 
221,0, southcarolina has a highschool graduation rate near 50 and that's why they have so many uninformed teabaggers morningjoe
222,0, stateoftheunion would last 15mins if they let the President talk all that standing up clapping is for the birds
223,0, tbt my precious gook baby 
224,0, tbt when i took my likkle monkey jimmys 
225,0, teabagger state like mississippi opposed to minimum wage child labor laws unions is pro scab sweatshop work pretty much SLAVERY 
226,0, tikiti rough mock for the base of what will eventually be an ashtray Tiki Ti 
227,0, uppers loving the show this morning Chris is directing the conversation beautifully Make the teabaggers talk 
228,0, Killer line Josh Smith dropped a killer trash talk line on Kenneth 
229,0, plus Sheryl crow 
